hid,headline,category,email,score
7,Scientists unveil autonomous underwater robot for deep-sea environmental monitoring,science & technology,tech.editor@globalpressnews.com,4
9,Researchers train medical AI model using synthetic patient simulation datasets,artificial intelligence,ai.editor@globalpressnews.com,5
62,Community programs focus on reducing homelessness among urban families,human rights & social issues,socialissues.editor@globalpressnews.com,3

1,"Researchers develop biodegradable battery technology for next-generation electric vehicles",science & technology,tech.editor@globalpressnews.com,4
115,"Young tennis champion defeats experienced rival delivering exceptional serves during prestigious grand slam semifinal.",sports,sports.editor@globalpressnews.com,3
140,"Education ministry introduces digital literacy curriculum for primary schools",education,education.editor@globalpressnews.com,3
88,"Manufacturing exports surge dramatically as domestic companies expand investments across emerging global consumer markets.",business & economy,business.editor@globalpressnews.com,4
59,"Defense officials unveil next-generation unmanned reconnaissance aircraft prototype",defense & military,defense.editor@globalpressnews.com,4
75,"Young fast bowler breaks national wicket-taking record during tournament",sports,sports.editor@globalpressnews.com,2
60,"Tourism industry rebounds after relaxed international visa regulations",travel & tourism,travel.editor@globalpressnews.com,3
30,"Fashion designers showcase sustainable fabrics during international runway event",lifestyle & fashion,lifestyle.editor@globalpressnews.com,3
16,"Foreign investors reduce holdings amid uncertainty over currency stabilization policies",finance & markets,finance.editor@globalpressnews.com,4
50,"Climate scientists warn glacier melting could disrupt regional water supplies",environment & climate change,climate.editor@globalpressnews.com,5
